"name","team","league","height","weight","PA","AB","HR","K","pay"
"Ｔ－岡田","オリックス","Pacific",187,100,377,328,16,87,9000
"アルモンテ","中日","Central",183,98,247,214,9,42,15000
"ウィーラー","巨人","Central",178,100,288,263,12,47,20000
"エスコバー","ヤクルト","Central",185,88,402,377,1,52,8720
"オースティン","DeNA","Central",188,100,269,238,20,69,10000
"グラシアル","ソフトバンク","Pacific",187,95,276,256,10,62,15000
"サンズ","阪神","Central",193,102,443,377,19,106,12000
"ジョーンズ","オリックス","Pacific",188,98,338,302,12,66,44000
"スパンジェンバーグ","西武","Pacific",183,89,445,407,15,150,8000
"ソト","DeNA","Central",185,97,480,428,25,103,18500
"パーラ","巨人","Central",180,95,154,146,4,35,16200
"バレンティン","ソフトバンク","Pacific",185,100,218,191,9,59,50000
"ビシエド","中日","Central",185,108,462,409,17,48,30000
"ビヤヌエバ","日本ハム","Pacific",180,95,196,168,4,39,8000
"ピレラ","広島","Central",182,99,337,316,11,53,6480
"ブラッシュ","楽天","Pacific",196,106,149,119,2,46,14000
"ボーア","阪神","Central",193,122,379,329,17,88,27250
"マーティン","ロッテ","Pacific",189,91,448,359,25,100,16000
"メヒア","西武","Pacific",198,118,260,237,11,82,10000
"モヤ","オリックス","Pacific",201,117,176,164,12,33,6500
"レアード","ロッテ","Pacific",185,98,147,133,6,28,23760
"ロドリゲス","オリックス","Pacific",191,95,211,193,6,55,7000
"ロペス","DeNA","Central",183,103,305,293,12,36,15000
"ロメロ","楽天","Pacific",188,100,404,356,24,108,6540
"安達　了一","オリックス","Pacific",179,78,311,266,2,48,9000
"井上　晴哉","ロッテ","Pacific",180,114,447,376,15,93,5500
"岡本　和真","巨人","Central",185,96,500,440,31,85,14000
"荻野　貴司","ロッテ","Pacific",172,75,236,203,1,23,7800
"外崎　修汰","西武","Pacific",177,82,500,433,8,87,14000
"角中　勝也","ロッテ","Pacific",180,85,254,217,2,41,10000
"梶谷　隆幸","DeNA","Central",180,88,482,433,19,85,7400
"丸　佳浩","巨人","Central",177,94,491,423,27,101,45000
"亀井　善行","巨人","Central",178,82,156,141,2,21,11000
"菊池　涼介","広島","Central",171,72,429,376,10,68,30000
"吉田　正尚","オリックス","Pacific",173,85,492,408,14,29,20000
"宮﨑　敏郎","DeNA","Central",172,85,460,429,14,29,16000
"京田　陽太","中日","Central",184,83,491,442,5,80,6400
"近藤　健介","日本ハム","Pacific",171,85,467,371,5,72,15000
"金子　侑司","西武","Pacific",179,76,338,301,3,55,12000
"銀次","楽天","Pacific",174,78,245,212,0,28,11000
"栗山　巧","西武","Pacific",177,85,428,372,12,77,15000
"源田　壮亮","西武","Pacific",179,75,518,455,1,80,14000
"甲斐　拓也","ソフトバンク","Pacific",170,84,360,289,11,80,11000
"高橋　周平","中日","Central",180,85,438,394,7,70,6000
"今宮　健太","ソフトバンク","Pacific",172,76,177,164,6,22,29000
"坂口　智隆","ヤクルト","Central",181,82,458,398,9,60,11500
"坂本　勇人","巨人","Central",186,85,479,412,19,85,50000
"山川　穂高","西武","Pacific",176,103,401,322,24,100,21000
"山田　哲人","ヤクルト","Central",180,76,384,334,12,83,50000
"糸井　嘉男","阪神","Central",188,99,311,269,2,50,40000
"糸原　健斗","阪神","Central",175,81,244,218,3,33,6000
"松山　竜平","広島","Central",176,96,425,404,9,72,8500
"松田　宣浩","ソフトバンク","Pacific",180,85,431,395,13,76,45000
"上林　誠知","ソフトバンク","Pacific",185,91,178,160,6,39,6500
"森　友哉","西武","Pacific",170,85,405,358,9,67,20000
"神里　和毅","DeNA","Central",179,81,190,169,3,42,4800
"清田　育宏","ロッテ","Pacific",180,85,209,180,7,52,6000
"西川　遥輝","日本ハム","Pacific",181,79,523,422,5,84,20000
"西川　龍馬","広島","Central",176,74,328,296,6,52,6800
"青木　宣親","ヤクルト","Central",175,80,425,357,18,51,34000
"川島　慶三","ソフトバンク","Pacific",173,74,162,137,4,17,7000
"浅村　栄斗","楽天","Pacific",182,90,529,432,32,111,50000
"倉本　寿彦","DeNA","Central",180,82,216,199,1,42,5000
"大田　泰示","日本ハム","Pacific",188,96,481,455,14,105,10000
"大島　洋平","中日","Central",176,75,525,462,1,51,25000
"大和","DeNA","Central",177,72,225,199,4,28,10000
"中村　晃","ソフトバンク","Pacific",176,83,413,362,6,47,24000
"中村　剛也","西武","Pacific",175,102,297,258,9,75,35000
"中村　奨吾","ロッテ","Pacific",180,88,499,422,8,97,7200
"中田　翔","日本ハム","Pacific",184,107,506,440,31,109,29000
"中島　卓也","日本ハム","Pacific",178,75,191,159,0,36,9000
"長野　久義","広島","Central",180,85,299,267,10,61,17000
"田村　龍弘","ロッテ","Pacific",172,81,237,203,4,45,7000
"田中　広輔","広島","Central",171,84,454,378,8,86,15000
"島内　宏明","楽天","Pacific",180,75,471,406,8,71,10000
"梅野　隆太郎","阪神","Central",173,77,342,298,7,77,10000
"福田　永将","中日","Central",181,88,216,195,5,43,6500
"平田　良介","中日","Central",177,87,193,166,3,33,18000
"明石　健志","ソフトバンク","Pacific",175,67,172,154,2,32,10000
"茂木　栄五郎","楽天","Pacific",171,75,321,276,7,52,8100
"柳田　悠岐","ソフトバンク","Pacific",188,96,515,427,29,103,57000
"鈴木　誠也","広島","Central",181,98,514,430,25,73,28000
"鈴木　大地","楽天","Pacific",175,79,546,478,4,58,10000
"會澤　翼","広島","Central",177,91,263,229,7,51,18000
