Name,team,height,weight,salary,勝利,セーブ
菅野　智之,Giants,186,92,65000,14,0
西　勇輝,Tigers,181,82,20000,11,0
秋山　拓巳,Tigers,188,101,3200,11,0
大野　雄大,Dragons,183,83,13000,11,0
石川　柊太,Softbank,185,86,4800,11,0
千賀　滉大,Softbank,187,90,30000,11,0
涌井　秀章,Eagles,185,85,12500,11,0
森下　暢仁,Carp,180,76,1600,10,0
大貫　晋一,DeNA,181,73,2500,10,0
小川　泰弘,Swallows,171,80,9000,10,0
美馬　学,Lotte,169,75,6500,10,0
戸郷　翔征,Giants,186,75,650,9,0
東浜　巨,Softbank,183,78,6700,9,0
二木　康太,Lotte,190,85,4600,9,0
九里　亜蓮,Carp,187,95,7200,8,0
サンチェス,Giants,185,88,34000,8,0
福谷　浩司,Dragons,183,90,1800,8,0
和田　毅,Softbank,179,80,10000,8,0
髙橋　光成,Lions,190,105,4000,8,0
山本　由伸,Orix,178,80,9000,8,0
上沢　直之,Fighters,187,89,6000,8,0
有原　航平,Fighters,189,95,14500,8,0
バーヘイゲン,Fighters,198,104,11000,8,0
岩貞　祐太,Tigers,183,82,3200,7,0
青柳　晃洋,Tigers,183,84,3000,7,0
森脇　亮介,Lions,175,70,1300,7,1
岸　孝之,Eagles,180,77,30000,7,0
杉浦　稔大,Fighters,190,89,2000,7,1
石川　歩,Lotte,186,80,10500,7,0
小島　和哉,Lotte,177,85,1700,7,0
岩下　大輝,Lotte,182,90,2500,7,0
野村　祐輔,Carp,177,89,12000,6,0
井納　翔一,DeNA,188,94,6100,6,0
濵口　遥大,DeNA,173,80,5500,6,0
柳　裕也,Dragons,180,85,4500,6,0
ムーア,Softbank,190,95,30000,6,0
松本　航,Lions,176,87,2100,6,0
ニール,Lions,191,95,22000,6,0
大瀬良　大地,Carp,187,95,17500,5,0
床田　寛樹,Carp,181,88,2700,5,0
遠藤　淳志,Carp,184,78,1400,5,0
髙橋　遥人,Tigers,181,82,2200,5,0
岩崎　優,Tigers,185,88,8000,5,2
