key,type,yomi
アインシュタイン,name,あいんしゅたいん
アクセルロッド,name,あくせるろっど
アッシュ,name,あっしゅ
アドラー,name,あどらー
アドルノ,name,あどるの
アリストテレス,name,ありすとてれす
ウィトゲンシュタイン,name,うぃとげんしゅたいん
ウィリアム・ジェームズ,name,うぃりあむ・じぇーむず
オールポート,name,おーるぽーと
ガリレオ,name,がりれお
ガーゲン,name,がーげん
クルト・レヴィン,name,くると・れゔぃん
ケプラー,name,けぷらー
シュレディンガー,name,しゅれでぃんがー
ジンバルド,name,じんばるど
ソーカル,name,そーかる
タジフェル,name,たじふぇる
ターナー,name,たーなー
デカルト,name,でかると
デリダ,name,でりだ
デュルケーム,name,でゅるけーむ
ドゥルーズ,name,どぅるーず
ニーチェ,name,にーちぇ
ニールス・ボーア,name,にーるす・ぼーあ
ニューカム,name,にゅーかむ
ニュートン,name,にゅーとん
パブロフ,name,ぱぶろふ
ビブ・ラタネ,name,びぶ・らたね
フェスティンガー,name,ふぇすてぃんがー
フロイド,name,ふろいど
プラトン,name,ぷらとん
ベルタランフィ,name,べるたらんふぃ
ホーガン,name,ほーがん
ホイヘンス,name,ほいへんす
マズロー,name,まずろー
ミルグラム,name,みるぐらむ
モスコビッチ,name,もすこびっち
ユング,name,ゆんぐ
ラッセル,name,らっする
ラパポート,name,らぱぽーと
ル・ボン,name,る・ぼん
レヴィ＝ストロース,name,れゔぃ＝すとろーす
ロジャーズ,name,ろじゃーず
ワトソン,name,わとそん
ヴント,name,ゔんと
ベム,name,べむ
ケストラー,name,けすとらー
河本英夫,name,かわもとひでお
鞠子英雄,name,まりこひでお
福岡伸一,name,ふくおかしんいち
藤澤等,name,ふじさわひとし
タネンバウム,name,たねんばうむ
マクスウェル,name,まくすうぇる
ヒューム,name,ひゅーむ
アクション・リサーチ,term,あくしょんりさーち
アイデンティティ理論,term,あいでんてぃてぃりろん
インセスト・タブー,term,いんせすと・たぶー
エスノメソドロジー,term,えすのめそどろじー
エポケー,term,えぽけー
オートポイエーシス,term,おーとぽいえーしす
カルチュラル・スタディーズ,term,かるちゅらる・すたでぃーず
グループダイナミックス,term,ぐるーぷだいなみっくす
ゲーム理論,term,げーむりろん
ゲシュタルト心理学,term,げしゅたるとしんりがく
シンボリック相互作用論,term,しんぼりっくそうごさようろん
システム論,term,しすてむろん
自己組織化系,term,じこそしきかけい
社会心理学,term,しゃかいしんりがく
社会的実在,term,しゃかいてきじつざい
社会的自己,term,しゃかいてきじこ
社会的認知,term,しゃかいてきにんち
社会的アイデンティティ理論,term,しゃかいてきあいでんてぃてぃりろん
社会的表象理論,term,しゃかいてきひょうしょうりろん
集団凝集性,term,しゅうだんぎょうしゅうせい
集団力学,term,しゅうだんりきがく
少数派影響理論,term,しょうすうはえいきょうりろん
状況主義,term,じょうきょうしゅぎ
精神分析,term,せいしんぶんせき
相対性理論,term,そうたいせいりろん
地動説,term,ちどうせつ
統計モデル,term,とうけいもでる
内観法,term,ないかんほう
認知革命,term,にんちかくめい
認知心理学,term,にんちしんりがく
認知的均衡理論,term,にんちてききんこうりろん
認知負荷,term,にんちふか
ネットワーク科学,term,ねっとわーくかがく
パラダイム論,term,ぱらだいむろん
複雑系,term,ふくざつけい
プロスペクト理論,term,ぷろすぺくとりろん
民族心理学,term,みんぞくしんりがく
方法論的個人主義,term,ほうほうろんてきこじんしゅぎ
論理実証主義,term,ろんりじっしょうしゅぎ
帰無仮説検定,term,きむかせつけんてい
ベイズ統計,term,べいずとうけい
再現性,term,さいげんせい
動的平衡系,term,どうてきへいこうけい
動的非平衡系,term,どうてきひへいこうけい
サイバネティクス,term,さいばねてぃくす
家族システム論,term,かぞくしすてむろん
ホロン,term,ほろん
全体還元主義,term,ぜんたいげんげんしゅぎ
連立微分方程式,term,れんりつびぶんほうていしき
観察者問題,term,かんさつしゃもんだい
フィードバックループ,term,ふぃーどばっくるーぷ
生成AI,term,せいせいえーあい
第一世代システム,term,だいいちせだいしすてむ
ホメオスタシス,term,ほめおすたしす
BZ反応,term,びーぜっとはんのう
アロポイエーシス,term,あろぽいえーしす
オートポイエーシス,term,おーとぽいえーしす
コミュニケーション,term,こみゅにけーしょん
ハーケン,name,はーけん
プリゴジン,name,ぷりごじん
ベルタランフィー,name,べるたらんふぃー
ホメオスタシス,term,ほめおすたしす
マトゥラーナ,name,まとぅらーな
ヴァレラ,name,ゔぁれら
ルーマン,name,るーまん
河本英夫,name,かわもとひでお
一般システム理論,term,いっぱんしすてむりろん
位相空間,term,いそうくうかん
散逸構造,term,さんいつこうぞう
時間の矢,term,じかんのや
自己組織化,term,じこそしきか
社会システム,term,しゃかいしすてむ
前成説,term,ぜんせいせつ
相転移,term,そうてんい
動的平衡系,term,どうてきへいこうけい
動的非平衡系,term,どうてきひへいこうけい
北原和夫,name,きたはらかずお
複雑性の低減,term,ふくざつせいのていげん
構造的カップリング,term,こうぞうてきかっぷりんぐ
第一世代システム,term,だいいちせだいしすてむ
第二世代システム,term,だいにせだいしすてむ
第三世代システム,term,だいさんせだいしすてむ
後成説,term,こうせいせつ
免疫系,term,めんえきけい
視覚神経系,term,しかくしんけいけい
