date,weight,bodyFat
2012-06-08T06:52:34Z,73.5,26.6
2012-06-09T10:18:30Z,73.7,27.4
2012-06-10T00:55:13Z,74.1,25.5
2012-06-10T11:22:05Z,73.2,27.8
2012-06-11T06:41:54Z,73.9,25.5
2012-06-11T20:30:59Z,75.3,30
2012-06-11T20:31:20Z,75.3,25.5
2012-06-12T06:51:47Z,74.2,25.9
2012-06-13T06:34:40Z,74.1,26.5
2012-06-13T20:00:06Z,75.3,22.9
2012-06-14T06:35:53Z,74.1,27.3
2012-06-14T20:50:31Z,75,23.2
2012-06-15T07:10:12Z,73.8,25.9
2012-06-15T20:05:34Z,73.8,21.6
2012-06-16T07:34:39Z,74,27.9
2012-06-18T06:37:17Z,73.9,27.1
2012-06-18T17:46:15Z,74.9,24.6
2012-06-19T06:36:26Z,74.5,25.3
2012-06-19T19:57:51Z,75.4,21.3
2012-06-20T06:41:25Z,74.1,26
2012-06-20T19:11:10Z,74,20.2
2012-06-21T06:38:25Z,74.1,26.1
2012-06-21T20:00:23Z,75,22.3
2012-06-22T06:44:20Z,74.3,26.1
2012-06-23T11:36:25Z,73.3,24.6
2012-06-24T10:53:22Z,74,26.5
2012-06-24T20:56:01Z,75.1,24.7
2012-06-25T06:33:59Z,74.2,26.8
2012-06-25T20:04:54Z,75.1,23.8
2012-06-26T06:46:24Z,74.2,26.5
2012-06-27T06:44:30Z,73.6,26.7
2012-06-27T21:21:57Z,74.7,23.1
2012-06-28T06:48:02Z,73.9,26.8
2012-06-28T20:12:17Z,74.5,23.5
2012-06-29T06:32:50Z,73.5,27.2
2012-06-30T19:58:05Z,72.7,22.3
2012-07-01T16:17:50Z,73.1,21.1
2012-07-02T06:43:38Z,74.2,25.7
2012-07-02T22:58:53Z,74.9,22.3
2012-07-03T06:48:34Z,74.1,25.2
2012-07-04T06:49:18Z,73.5,26.4
2012-07-05T06:47:46Z,73.2,26.6
2012-07-06T06:39:14Z,73.5,26.9
