Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
曽根　海成,Carp,700,内野手,6,175,68,A型,右,左,大阪,1995-04-24,00,0.2,64,31,25,5,0,2,5,3,1,10,2,0,0.31,0.2,0.51,2.42,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上本　崇司,Carp,1000,内野手,7,170,71,A型,右,両,広島,1990-08-22,0,0.143,31,22,21,3,0,0,0,0,0,5,1,1,0.143,0.143,0.286,-1.22,-1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
鈴木　誠也,Carp,16000,外野手,7,181,96,A型,右,右,東京,1994-08-18,1,0.335,140,612,499,167,28,87,25,103,7,81,0,3,0.453,0.565,1.018,9.68,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
田中　広輔,Carp,18000,内野手,6,171,82,A型,右,左,神奈川,1989-07-03,2,0.193,97,355,311,60,3,27,8,32,2,89,4,4,0.268,0.264,0.531,2.26,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
小窪　哲也,Carp,3100,内野手,12,175,83,O型,右,右,奈良,1985-04-12,4,0.246,51,125,114,28,1,5,0,10,0,19,1,3,0.306,0.298,0.605,3.02,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
長野　久義,Carp,22000,外野手,10,180,85,O型,右,右,佐賀,1984-12-06,5,0.25,72,197,180,45,5,20,0,15,1,40,0,11,0.31,0.383,0.693,3.19,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
安部　友裕,Carp,4100,内野手,12,181,81,O型,右,左,福岡,1989-06-24,6,0.254,114,295,264,67,8,28,5,23,1,60,6,9,0.315,0.39,0.705,3.91,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
堂林　翔太,Carp,1600,内野手,10,183,88,A型,右,右,愛知,1991-08-17,7,0.206,28,38,34,7,0,2,0,2,0,9,2,0,0.25,0.265,0.515,2.07,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岩本　貴裕,Carp,1000,外野手,11,182,96,A型,左,左,広島,1986-04-18,10,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2.92,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
九里　亜蓮,Carp,6200,投手,6,187,95,A型,右,右,鳥取,1991-09-01,12,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51,8,8,0,3,0.5,498,118,107,11,41,4,96,50,46,1.25,3.85
矢崎　拓也,Carp,1200,投手,3,176,90,O型,右,右,東京,1994-12-31,13,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63,0,0,0,0,0,40,8,10,2,6,0,11,5,5,2,5.87
大瀬良　大地,Carp,14500,投手,6,187,93,AB型,右,右,長崎,1991-06-17,14,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53,11,9,0,0,0.55,712,173.1,176,22,35,4,136,72,68,1.22,3.84
今村　猛,Carp,8700,投手,10,183,105,B型,右,右,長崎,1991-04-17,16,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,3,1,1,4,0.75,101,25.1,18,2,9,1,17,10,10,1.07,3.87
岡田　明丈,Carp,5500,投手,4,185,92,AB型,右,左,東京,1993-10-18,17,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.14,0,2,0,0,0,39,7,9,2,11,0,4,12,11,2.86,10.41
野村　祐輔,Carp,12000,投手,8,177,84,AB型,右,右,岡山,1989-06-24,19,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06,6,5,0,0,0.545,414,95.1,96,6,34,2,65,52,43,1.36,3.64
永川　勝浩,Carp,2000,投手,17,188,98,O型,右,右,広島,1980-12-14,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,3.12
