month,day,year,yobi,weight,BFP,MP,AP
6,8,2012,4,73.5,26.6,53.9,19.6
6,9,2012,6,73.7,27.4,53.5,20.2
6,10,2012,7,74.1,25.5,55.2,18.9
6,11,2012,1,75.3,25,56.5,18.8
6,12,2012,2,74.2,25.9,55,19.2
6,13,2012,3,75.3,22.9,58.1,17.2
6,14,2012,4,75,23.2,57.6,17.4
6,15,2012,5,73.8,21.6,57.9,15.9
6,16,2012,6,74,27.9,53.4,20.6
6,18,2012,1,74.9,24.6,56.5,18.4
6,19,2012,2,75.4,21.3,59.3,16.1
6,20,2012,3,74,20.2,59.1,14.9
6,21,2012,4,75,22.3,58.3,16.7
6,22,2012,5,74.3,26.1,54.9,19.4
6,23,2012,6,73.3,24.6,55.3,18
6,24,2012,7,75.1,24.7,56.6,18.6
6,25,2012,1,75.1,23.8,57.2,17.9
6,26,2012,2,74.2,26.5,54.5,19.7
6,27,2012,3,74.7,23.1,57.4,17.3
6,28,2012,4,74.5,23.5,57,17.5
6,29,2012,5,73.5,27.2,53.5,20
6,30,2012,6,72.7,22.3,56.5,16.2
7,1,2012,7,73.1,21.1,57.7,15.4
7,2,2012,1,74.9,22.3,58.2,16.7
7,3,2012,2,74.1,25.2,55.4,18.7
7,4,2012,3,73.5,26.4,54.1,19.4
7,5,2012,4,73.2,26.6,53.7,19.5
7,6,2012,5,73.5,26.9,53.7,19.8
7,8,2012,7,73.5,26.2,54.2,19.3
7,9,2012,1,74.5,23,57.4,17.1
7,10,2012,2,74.7,22,58.3,16.4
7,12,2012,4,74.1,24.7,55.8,18.3
7,13,2012,5,74.4,25.5,55.4,19
7,15,2012,7,73.6,27.2,53.6,20
7,16,2012,1,75.3,25.8,55.9,19.4
7,18,2012,3,73.9,25.3,55.2,18.7
7,19,2012,4,73.5,26.7,53.9,19.6
7,20,2012,5,73.6,26.1,54.4,19.2
7,22,2012,7,73.1,26.9,53.4,19.7
7,23,2012,1,73.7,26,54.5,19.2
7,24,2012,2,74.1,25.5,55.2,18.9
7,25,2012,3,73.5,24.6,55.4,18.1
7,26,2012,4,73.8,23.9,56.2,17.6
7,27,2012,5,73.4,26.4,54,19.4
7,28,2012,6,72.5,26.4,53.4,19.1
7,29,2012,7,73.2,27.3,53.2,20
7,30,2012,1,73.8,25.5,55,18.8
7,31,2012,2,73.8,24.8,55.5,18.3
8,1,2012,3,73.8,25.8,54.8,19
8,2,2012,4,73.6,22.8,56.8,16.8
8,3,2012,5,73.4,26.7,53.8,19.6
8,4,2012,6,73.5,25.9,54.5,19
8,7,2012,2,73.7,27.2,53.7,20
8,8,2012,3,73.6,26.7,53.9,19.7
8,21,2012,2,74.1,25.4,55.3,18.8
8,24,2012,5,75.7,25.1,56.7,19
8,25,2012,6,74.8,24.8,56.3,18.6
8,28,2012,2,75.1,22,58.6,16.5
8,29,2012,3,75.8,27,55.3,20.5
8,30,2012,4,75.8,25.6,56.4,19.4
9,1,2012,6,76,22.3,59.1,16.9
9,2,2012,7,75.6,26.2,55.8,19.8
9,5,2012,3,75.3,25.5,56.1,19.2
9,6,2012,4,75,25.3,56,19
9,10,2012,1,75.5,24.6,56.9,18.6
9,11,2012,2,75.4,24.8,56.7,18.7
9,19,2012,3,74.7,26.6,54.8,19.9
9,24,2012,1,74.6,22.9,57.5,17.1
9,26,2012,3,74.9,26.4,55.1,19.8
9,27,2012,4,74.9,26.6,55,19.9
5,18,2013,6,76,27.6,55,21
5,19,2013,7,76.2,27,55.6,20.6
5,20,2013,1,76.3,26.5,56.1,20.2
5,21,2013,2,75.4,27.1,55,20.4
5,22,2013,3,75.9,26.5,55.8,20.1
5,23,2013,4,75.7,26.6,55.6,20.1
5,24,2013,5,75.8,26.2,55.9,19.9
5,25,2013,6,75.8,27.3,55.1,20.7
5,26,2013,7,75.6,25.5,56.3,19.3
5,27,2013,1,75.7,26,56,19.7
5,28,2013,2,76.1,27.1,55.5,20.6
5,29,2013,3,75.7,27.2,55.1,20.6
5,30,2013,4,75.5,28.8,53.8,21.7
5,31,2013,5,75.6,26.8,55.3,20.3
6,1,2013,6,74.9,26.9,54.8,20.1
6,2,2013,7,75.3,28.3,54,21.3
6,3,2013,1,75.2,28.1,54.1,21.1
6,4,2013,2,75,28.1,53.9,21.1
6,5,2013,3,75.2,27.7,54.4,20.8
6,6,2013,4,75.1,28.3,53.8,21.3
6,7,2013,5,75.3,27.3,54.7,20.6
6,8,2013,6,75.2,26.5,55.3,19.9
6,10,2013,1,75.3,27.3,54.7,20.6
6,11,2013,2,75.5,27.5,54.8,20.7
6,12,2013,3,75.5,27.1,55,20.5
6,16,2013,7,75.2,26.8,55,20.2
6,17,2013,1,76,25.9,56.3,19.7
6,18,2013,2,75.8,25.9,56.2,19.6
6,19,2013,3,76.1,24,57.8,18.3
6,20,2013,4,75.2,26.3,55.4,19.8
6,21,2013,5,75.6,26.1,55.9,19.7
6,24,2013,1,75.5,26.3,55.6,19.9
6,25,2013,2,76.2,25.1,57.1,19.1
6,26,2013,3,76,26.2,56.1,19.9
6,27,2013,4,75.7,24.8,56.9,18.8
6,28,2013,5,76.1,26.2,56.2,19.9
6,29,2013,6,75.3,26.7,55.2,20.1
6,30,2013,7,75.8,26.9,55.4,20.4
7,1,2013,1,75.7,27.6,54.8,20.9
7,2,2013,2,75.5,25.3,56.4,19.1
7,3,2013,3,75.7,27.3,55,20.7
7,4,2013,4,75.6,27.9,54.5,21.1
7,5,2013,5,75.9,27.1,55.3,20.6
7,7,2013,7,75.9,25.9,56.2,19.7
7,8,2013,1,75.5,26.3,55.6,19.9
7,9,2013,2,75.7,28.3,54.3,21.4
7,10,2013,3,75.7,26.4,55.7,20
7,11,2013,4,76.1,25.9,56.4,19.7
7,12,2013,5,76.3,26.3,56.2,20.1
7,13,2013,6,76,25.9,56.3,19.7
7,16,2013,2,76.9,25.9,57,19.9
7,17,2013,3,77,26.3,56.7,20.3
7,18,2013,4,76.7,25.6,57.1,19.6
7,19,2013,5,76.5,26.5,56.2,20.3
7,22,2013,1,76.9,25.1,57.6,19.3
7,23,2013,2,76,28.5,54.3,21.7
7,24,2013,3,75.7,27.3,55,20.7
7,25,2013,4,75.2,29,53.4,21.8
7,26,2013,5,76.2,28.1,54.8,21.4
7,28,2013,7,75.7,27.7,54.7,21
