Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
上本　崇司,Carp,900,内野手,8,170,71,A型,右,両,広島,1990-08-22,0,0.212,56,62,52,11,0,4,2,5,2,4,3,3,0.305,0.25,0.555,2.27,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
曽根　海成,Carp,1000,内野手,7,175,74,A型,右,左,大阪,1995-04-24,00,0.25,33,17,16,4,0,1,5,1,0,5,0,0,0.294,0.313,0.607,2.32,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
鈴木　誠也,Carp,28000,外野手,8,181,98,A型,右,右,東京,1994-08-18,1,0.3,118,514,430,129,25,75,6,72,9,73,0,15,0.409,0.544,0.953,7.67,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
田中　広輔,Carp,15000,内野手,7,171,84,A型,右,左,神奈川,1989-07-03,2,0.251,112,454,378,95,8,39,8,55,5,86,12,1,0.351,0.37,0.721,4.9,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
小窪　哲也,Carp,2900,内野手,13,175,85,O型,右,右,奈良,1985-04-12,4,0.333,3,3,3,1,0,0,0,0,0,0,0,1,0.333,0.333,0.667,-0.3,-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
長野　久義,Carp,17000,外野手,11,180,85,O型,右,右,佐賀,1984-12-06,5,0.285,95,299,267,76,10,42,1,29,1,61,0,5,0.355,0.468,0.823,6.02,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
安部　友裕,Carp,4300,内野手,13,181,84,O型,右,左,福岡,1989-06-24,6,0.184,26,44,38,7,0,2,0,4,0,17,2,1,0.262,0.263,0.525,1.51,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
堂林　翔太,Carp,1600,内野手,11,183,88,A型,右,右,愛知,1991-08-17,7,0.279,111,451,401,112,14,58,17,41,4,91,3,12,0.35,0.436,0.787,5.35,5.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ピレラ,Carp,6480,外野手,1,182,99,不明,右,右,ベネズエラ,1989-11-21,10,0.266,99,337,316,84,11,34,2,19,2,53,0,4,0.312,0.411,0.723,4.45,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
九里　亜蓮,Carp,7200,投手,7,187,95,A型,右,右,鳥取,1991-09-01,12,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,8,6,0,0,0.571,544,130.2,116,11,44,0,106,46,43,1.22,3.6
矢崎　拓也,Carp,1000,投手,4,176,90,O型,右,右,東京,1994-12-31,13,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.39,0,0,0,0,0,39,7.2,11,3,5,1,10,9,8,2.09,7.95
大瀬良　大地,Carp,17500,投手,7,187,95,AB型,右,右,長崎,1991-06-17,14,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,5,4,0,0,0.556,272,63.1,70,6,14,1,38,33,31,1.33,3.81
今村　猛,Carp,8000,投手,11,183,99,B型,右,右,長崎,1991-04-17,16,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.46,0,0,0,1,0,25,4.1,10,0,2,0,1,6,6,2.77,4.04
岡田　明丈,Carp,4400,投手,5,185,92,AB型,右,左,東京,1993-10-18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
森下　暢仁,Carp,1600,投手,1,180,76,O型,右,右,大分,1997-08-25,18,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,10,3,0,0,0.769,485,122.2,102,6,32,4,124,30,26,1.09,2.61
野村　祐輔,Carp,12000,投手,9,177,89,AB型,右,右,岡山,1989-06-24,19,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,6,3,0,0,0.667,309,70.2,81,9,22,3,35,36,36,1.46,4.8
中﨑　翔太,Carp,14500,投手,10,186,99,B型,右,右,鹿児島,1992-08-10,21,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,0,0,0,1,25,5,8,3,3,0,3,5,5,2.2,11.52
中村　奨成,Carp,700,捕手,3,181,78,B型,右,右,広島,1999-06-06,22,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,-2.75,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
薮田　和樹,Carp,2800,投手,6,188,86,B型,右,右,広島,1992-08-07,23,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1,2,0,2,0.333,213,47,44,5,31,0,33,25,24,1.6,4.95
中田　廉,Carp,2300,投手,12,189,95,AB型,右,右,大阪,1990-07-21,26,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28,0,1,0,4,0,116,27.1,28,6,8,0,22,13,13,1.32,5.24
會澤　翼,Carp,18000,捕手,14,177,91,B型,右,右,茨城,1988-04-13,27,0.266,79,263,229,61,7,36,2,22,11,51,1,8,0.359,0.415,0.774,5.16,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
床田　寛樹,Carp,2700,投手,4,181,88,A型,左,左,兵庫,1995-03-01,28,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93,5,8,0,0,0.385,343,76.2,101,10,23,0,56,51,42,1.62,4.25
ケムナ　誠,Carp,750,投手,3,190,95,B型,右,右,アメリカ,1995-06-05,29,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88,1,1,0,11,0.5,212,51,37,3,23,1,55,22,22,1.18,3.08
一岡　竜司,Carp,7300,投手,9,179,81,O型,右,右,福岡,1991-01-11,30,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,0,1,1,2,0,81,17.1,25,2,5,1,14,12,12,1.73,4.04
石原　慶幸,Carp,5500,捕手,19,177,90,A型,右,右,岐阜,1979-09-07,31,0,4,5,5,0,0,0,0,0,0,1,0,0,0,0,0,-2.74,-2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
白濱　裕太,Carp,650,捕手,17,180,90,A型,右,右,大阪,1985-10-31,32,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
菊池　涼介,Carp,30000,内野手,9,171,72,A型,右,右,東京,1990-03-11,33,0.271,106,429,376,102,10,41,3,35,1,68,16,9,0.334,0.423,0.757,4.7,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　昂也,Carp,750,投手,4,181,90,A型,左,左,埼玉,1998-09-27,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
三好　匠,Carp,1200,内野手,9,174,84,A型,右,右,福岡,1993-06-07,35,0.125,62,29,24,3,0,2,0,2,0,5,2,0,0.185,0.125,0.31,0.21,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
塹江　敦哉,Carp,850,投手,6,178,87,A型,左,左,香川,1997-02-21,36,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,3,4,0,19,0.429,224,49.2,50,7,31,1,41,26,23,1.63,4.87
野間　峻祥,Carp,3400,外野手,6,180,89,B型,右,左,兵庫,1993-01-28,37,0.24,70,56,50,12,0,1,2,4,0,17,2,0,0.296,0.24,0.536,1.94,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
宇草　孔基,Carp,1200,外野手,1,185,83,O型,右,左,東京,1997-04-17,38,0.256,13,47,43,11,0,3,3,3,1,7,0,0,0.319,0.326,0.645,3.66,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
菊池　保則,Carp,2900,投手,13,180,103,O型,右,左,茨城,1989-09-18,39,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1,0,1,4,1,189,42,41,6,19,3,53,24,21,1.43,4.02
磯村　嘉孝,Carp,1800,捕手,10,178,90,A型,右,右,愛知,1992-11-01,40,0.208,31,55,48,10,1,1,0,4,0,8,3,2,0.269,0.333,0.603,2.42,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
